"NO","LblPerintah","Nama"
0,"JENIS CETAK",
1,"1. Data Hasil Himpun",
2,"  1.1. KAMBING",
3,"    1.1.1. Kambing Menurut Wilayah Penyembelihan","qurbankambing"
4,"    1.1.2. Kambing Dalam","qurbankambing"
5,"    1.1.3. Kambing Keluar","qurbankambing"
6,"    1.1.4. Kambing Menurut Bentuk Penyerahan","qurbankambingbentuk"
7,"    1.1.5. Kambing Hewan","qurbankambingbentuk"
8,"    1.1.6. Kambing Uang","qurbankambingbentuk"
9,"  1.2. SAPI",
10,"    1.2.1. Sapi Menurut Wilayah Penyembelihan","qurbansapi"
11,"    1.2.2. Sapi Dalam","qurbansapi"
12,"    1.2.3. Sapi Keluar","qurbansapi"
13,"    1.2.4. Sapi Menurut Bentuk Penyerahan","qurbansapibentuk"
14,"    1.2.5. Sapi Hewan","qurbansapibentuk"
15,"    1.2.6. Sapi Uang","qurbansapibentuk"
16,"    1.2.7. Sapi Menurut Cara Penyerahan","qurbansapipatungan"
17,"    1.2.8. Sapi Patungan","qurbansapipatungan"
18,"    1.2.9. Sapi Utuh","qurbansapipatungan"
19,"  1.3. Infaq Operasional Qurban",
20,"    1.3.1. Infaq Operasional Rekap","qurbanoperasional"
21,"    1.3.2. Infaq Operasional Detail","qurbanoperasionaldetail"
22,"    1.3.3. Infaq Operasional Tidak Ada","qurbanoperasionaltdkada"
23,"2. Data Pengiriman Bagian",
24,"  2.1. Data Bagian Pembagian","dataqurban2"
25,"  2.2. Data Bagian Pengiriman","dataqurban1"
26,"  2.3. Bukti Pengiriman","buktiqurban1Baru"
27,"  2.4. Label Pengiriman","buktiqurban"
28,"  2.5. Data Terima Bagian Qurban","dataqurban3"
29,"  2.6. Data Semua Diserahkan","dataqurban20"
30,"3. Data Lengkap Pengqurban","dataqurban"
31,"4. Surat Permohonan","suratpermohonan2"
32,"5. Keuangan","kwtaktis"
33,"6. Rekap Penyaluran Hewan Qurban","rekapqurban"
34,"7. Lembar ID Hewan Qurban",
35,"  7.1. ID Kambing Dalam","LembarIDQurban1Baru"
36,"  7.2. ID Kambing Keluar","LembarIDQurban1Baru"
37,"  7.3. ID Kambing NKW","LembarIDQurban1Baru"
38,"  7.4. ID Sapi (Besar)","LembarIDQurban2Baru"
39,"  7.5. ID Sapi (Kecil)","LembarIDQurban2KBaru"
40,"  7.6. ID Sapi (Terpisah Besar)","LembarIDQurban20Baru"
41,"  7.7. ID Sapi (Terpisah Kecil)","LembarIDQurban20KBaru"
